pid|size|soldOutDate
10000|XL ( 158-170 )|2018-02-17
10001|L|2018-02-19
10003|3 (35-38 )|2018-02-01
10003|4 ( 39-42 )|2018-02-26
10003|5 ( 43-46 )|2018-02-18
10006|XL|2018-02-04
10008|XL|2018-02-05
10013|L|2018-02-14
10013|M|2018-02-18
10013|S|2018-02-15
10015|L|2018-02-09
10015|S|2018-02-17
10017|L|2018-02-04
10020|XL|2018-02-23
10025|140|2018-02-04
10030|M|2018-02-22
10031|43|2018-02-28
10031|44|2018-02-20
10031|45|2018-02-25
10035|L ( 152-158 )|2018-02-23
10035|XL ( 158-170 )|2018-02-25
10035|XS ( 116-128 )|2018-02-19
10039|46|2018-02-12
10042|37,5|2018-02-04
10043|L|2018-02-16
10043|XL|2018-02-17
10046|L|2018-02-24
10046|M|2018-02-22
10046|S|2018-02-08
10048|42|2018-02-19
10050|M|2018-02-07
10051|M ( 140-152 )|2018-02-02
10051|XL ( 158-170 )|2018-02-28
10057|176|2018-02-16
10061|L|2018-02-25
10062|L|2018-02-15
10062|M|2018-02-18
10062|XL|2018-02-05
10063|L|2018-02-25
10063|M|2018-02-02
10063|XL|2018-02-13
10064|39 1/3|2018-02-21
10064|41 1/3|2018-02-04
10064|42|2018-02-01
10064|44|2018-02-12
10064|44 2/3|2018-02-18
10064|46 2/3|2018-02-23
10064|48|2018-02-21
10065|2 ( 37-39 )|2018-02-18
10065|4 ( 43-45 )|2018-02-27
10069|33|2018-02-01
10069|34|2018-02-06
10069|35|2018-02-22
10069|36|2018-02-23
10069|37 1/3|2018-02-08
10070|45,5|2018-02-08
10073|L ( 40/42 )|2018-02-12
10073|XL ( 44/46 )|2018-02-24
10077|36,5|2018-02-01
10082|L|2018-02-20
10083|S|2018-02-27
10084|L|2018-02-11
10084|M|2018-02-12
10084|S|2018-02-22
10085|41|2018-02-18
10085|42|2018-02-03
10085|44|2018-02-11
10085|45,5|2018-02-09
10093|L ( 152-158 )|2018-02-26
10094|45,5|2018-02-08
10096|L|2018-02-23
10096|M|2018-02-24
10096|XL|2018-02-16
10098|37,5|2018-02-13
10098|38|2018-02-12
10098|39|2018-02-24
10102|2XL|2018-02-17
10102|XL|2018-02-05
10103|L|2018-02-06
10104|7 ( L )|2018-02-06
10105|L ( 40/42 )|2018-02-26
10108|43|2018-02-28
10108|45,5|2018-02-20
10111|XL|2018-02-05
10115|43 1/3|2018-02-20
10115|44|2018-02-04
10116|L|2018-02-10
10116|M|2018-02-13
10116|XL|2018-02-11
10119|39 1/3|2018-02-04
10119|40|2018-02-18
10119|40 2/3|2018-02-20
10119|41 1/3|2018-02-01
10119|44|2018-02-27
10119|44 2/3|2018-02-12
10119|45 1/3|2018-02-28
10119|46|2018-02-03
10119|46 2/3|2018-02-01
10125|L|2018-02-10
10125|M|2018-02-16
10125|S|2018-02-20
10125|XL|2018-02-04
10126|40,5|2018-02-13
10126|42|2018-02-19
10126|44|2018-02-14
10126|44,5|2018-02-10
10131|152|2018-02-19
10131|164|2018-02-24
10133|44|2018-02-19
10133|44,5|2018-02-05
10133|45,5|2018-02-03
10134|33|2018-02-03
10135|L ( 40/42 )|2018-02-13
10137|37 1/3|2018-02-09
10137|38|2018-02-08
10141|XL ( 44/46 )|2018-02-16
10144|43|2018-02-04
10144|44|2018-02-08
10146|M|2018-02-28
10153|L|2018-02-22
10154|S|2018-02-11
10157|L|2018-02-06
10157|M|2018-02-14
10158|L|2018-02-12
10158|M|2018-02-13
10158|XL|2018-02-24
10160|M|2018-02-24
10164|L ( 152-158 )|2018-02-16
10164|M ( 140-152 )|2018-02-07
10164|S ( 128-140 )|2018-02-06
10164|XL ( 158-170 )|2018-02-03
10164|XS ( 116-128 )|2018-02-14
10165|36|2018-02-06
10167|M|2018-02-21
10167|S|2018-02-04
10168|152|2018-02-06
10169|2 ( 37-39 )|2018-02-27
10169|3 ( 40-42 )|2018-02-25
10169|4 ( 43-45 )|2018-02-26
10169|5 ( 46-48 )|2018-02-17
10170|L ( 42-46 )|2018-02-09
10170|M ( 38-42 )|2018-02-25
10170|S ( 34-38 )|2018-02-04
10170|XL (46-50 )|2018-02-27
10170|XS ( 30-34 )|2018-02-25
10171|36 2/3|2018-02-27
10174|L|2018-02-06
10174|M|2018-02-01
10174|XL|2018-02-06
10176|38,5|2018-02-11
10177|M|2018-02-20
10177|XL|2018-02-16
10183|L ( 42-46 )|2018-02-18
10183|M ( 38-42 )|2018-02-17
10186|36 2/3|2018-02-05
10186|38|2018-02-14
10186|38 2/3|2018-02-23
10194|38/40 ( M / L )|2018-02-10
10195|L|2018-02-04
10195|M|2018-02-14
10195|XL|2018-02-07
10197|L ( 42-46 )|2018-02-12
10197|M ( 38-42 )|2018-02-19
10197|S ( 34-38 )|2018-02-21
10197|XL (46-50 )|2018-02-11
10199|41 1/3|2018-02-13
10199|42|2018-02-21
10199|42 2/3|2018-02-17
10203|L ( 40/42 )|2018-02-14
10203|M ( 38/40 )|2018-02-23
10205|164|2018-02-16
10207|L|2018-02-11
10207|M|2018-02-23
